Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740622753390,29524.42448425293,4250,0,1.29375,24711.42315673828,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,43.18593215942383,30.49505615234375,48.871944427490234,26.442001342773438,93.23040008544922,48.765350341796875,57.34135437011719,52.07099533081055,44.8668212890625,31.55846405029297,65.98422241210938,62.980064392089844,16487870464,15032385536,7810228224,0
200,1740622753390,29524.43244934082,4225,0,1.2875,24711.465850830078,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,100,100,100,100,100,100,100,100,100,100,100,16487870464,15032385536,7828828160,0
200,1740622753590,25403.45181274414,3320.0000000000005,0,1.00625,24717.950912475586,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.46553421020508,37.141719818115234,47.64994430541992,57.74372100830078,70.15892791748047,43.4671745300293,51.24635696411133,47.00848388671875,43.790771484375,43.66847229003906,51.432220458984375,36.35038375854492,16487870464,15032385536,7806824448,0
200,1740622753791,31754.27848815918,3240,1,0.9875,24723.358688354492,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,34.64019775390625,36.68254089355469,30.688499450683594,42.75722122192383,43.07148361206055,64.39823913574219,45.076236724853516,37.85975646972656,46.897132873535156,26.884841918945313,40.945091247558594,42.24380111694336,16487870464,15032385536,7776169984,0
205,1740622753991,31755.168090820313,4050,0,1.2375,24729.149307250977,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.18586730957031,41.00693893432617,38.63022232055664,43.97315216064453,53.75497817993164,40.40561294555664,64.40423583984375,46.94761657714844,55.67416763305664,38.812225341796875,43.2595329284668,40.45846176147461,16487870464,15032385536,7773777920,0
200,1740622754197,29528.01838684082,4125,0,1.25,24734.653366088867,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,59.49420928955078,37.03961944580078,31.21118927001953,59.8417854309082,45.610145568847656,45.671146392822266,41.40776062011719,38.46451187133789,42.86530303955078,24.95854949951172,43.68207931518555,33.80369567871094,16487870464,15032385536,7773351936,0
200,1740622754397,4029.082244873047,4100,0,1.24375,24740.13331604004,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,39.332027435302734,30.16522979736328,38.561927795410156,53.79695510864258,43.461585998535156,37.68935012817383,38.40064239501953,37.89620590209961,33.35734558105469,35.748779296875,65.75785827636719,27.643768310546875,16487870464,15032385536,7768104960,0
199,1740622754598,29529.388870239258,3120,1,0.95625,24746.095321655273,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,56.74044418334961,38.53306198120117,50.634002685546875,40.588260650634766,50.438114166259766,38.60090255737305,42.99827575683594,43.7100944519043,40.25559616088867,56.9136848449707,47.06961441040039,32.283409118652344,16487870464,15032385536,7860183040,0
200,1740622754798,29530.137466430664,4025,0,1.20625,24751.86312866211,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,47.23335647583008,50.56919860839844,34.143165588378906,48.841590881347656,53.00883483886719,50.962337493896484,51.43287658691406,44.98604202270508,55.314510345458984,50.82902526855469,49.97129440307617,37.50748825073242,16487870464,15032385536,7860051968,0
199,1740622754998,29530.889556884766,3279.9999999999995,1,0.9875,24757.8995513916,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.33229446411133,44.24765396118164,49.585960388183594,46.63639450073242,54.03760528564453,41.61538314819336,49.79352951049805,47.7711296081543,42.335182189941406,48.5629997253418,49.886775970458984,37.590362548828125,16487870464,15032385536,7840653312,0
194,1740622755204,20377.89959716797,4075,0,1.25,24763.652313232422,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,36.63369369506836,37.24332046508789,31.975135803222656,39.666690826416016,59.525020599365234,38.40007400512695,43.17947769165039,62.677913665771484,40.25764465332031,31.05078887939453,56.524967193603516,25.083534240722656,16487870464,15032385536,7800414208,0
200,1740622755398,29532.58238220215,3300,1,0.99375,24768.561264038086,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,48.125423431396484,36.34508514404297,38.65791320800781,49.475318908691406,70.19903564453125,39.92157745361328,46.15196990966797,46.787227630615234,48.089683532714844,31.564369201660156,44.158870697021484,31.99756622314453,16487870464,15032385536,7829647360,0
200,1740622755599,29533.31968688965,3340,0,1,24774.80827331543,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,47.703643798828125,40.69066619873047,40.81629943847656,52.12917709350586,53.10258102416992,36.358299255371094,44.46538162231445,56.626625061035156,45.64242172241211,39.32678985595703,70.96011352539063,31.4705810546875,16487870464,15032385536,7809556480,0
199,1740622755799,29533.995971679688,3300,1,0.99375,24780.614776611328,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,36.288211822509766,40.43849182128906,40.945587158203125,44.97197723388672,44.12092971801758,42.51300811767578,32.98633575439453,40.516841888427734,36.264041900634766,58.82186508178711,47.907981872558594,35.84398651123047,16487870464,15032385536,7785668608,0
201,1740622756000,29534.74122619629,4150,0,1.275,24786.659790039063,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,57.305877685546875,42.71099090576172,40.318058013916016,67.00257873535156,55.097755432128906,42.89467239379883,48.24378204345703,44.04171371459961,43.04230880737305,37.59601974487305,47.68526077270508,39.605018615722656,16487870464,15032385536,7771004928,0
200,1740622756202,29535.34555053711,3975,0,1.19375,24792.073501586914,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,29.869606018066406,55.61707305908203,38.783451080322266,52.00431442260742,39.03255081176758,39.95563507080078,42.341033935546875,38.501976013183594,41.67428970336914,32.05894470214844,63.703697204589844,34.364959716796875,16487870464,15032385536,7770173440,0
200,1740622756402,29535.948806762695,4050,0,1.21875,24797.235321044922,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,31.339881896972656,36.54391098022461,30.023094177246094,38.9893684387207,41.486053466796875,38.12263870239258,33.613861083984375,60.774314880371094,47.1086540222168,44.25267028808594,45.21552276611328,23.505462646484375,16487870464,15032385536,7779303424,0
200,1740622756603,29536.675064086914,4100,0,1.2,24803.470260620117,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,36.84259796142578,49.76161193847656,37.67168426513672,55.12889862060547,45.85254669189453,44.924381256103516,46.722938537597656,46.811439514160156,48.6225700378418,33.80986022949219,44.588539123535156,54.243438720703125,16487870464,15032385536,7857590272,0
200,1740622756803,29537.49723815918,4125,0,1.25,24809.85580444336,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,46.22447204589844,52.03987503051758,43.82319641113281,31.225341796875,54.79940414428711,45.83168029785156,53.43174362182617,50.3729133605957,63.15109634399414,39.20919418334961,53.29948425292969,46.1126823425293,16487870464,15032385536,7857623040,0
200,1740622757003,25416.351013183594,4100,0,1.25,24816.142501831055,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.16889190673828,53.23838424682617,42.30270004272461,31.292526245117188,47.442161560058594,39.87056350708008,58.43022537231445,48.951419830322266,41.22039794921875,46.73063278198242,45.68073272705078,47.806644439697266,16487870464,15032385536,7856508928,0
