Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740634026328,62018.326248168945,4225,0,1.30625,64533.24220275879,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,79.26641845703125,84.47425842285156,100,99.55189514160156,85.40690612792969,59.50382614135742,54.67887878417969,100,100,100,60.795719146728516,88.74498748779297,16487870464,15032385536,7779827712,0
200,1740634026328,7149.850570678711,3400,0,1.01875,64533.424896240234,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,100,100,100,100,100,100,100,100,100,100,100,16487870464,15032385536,7779880960,0
200,1740634026528,62019.28178405762,3400,0,1.025,64542.04444885254,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3.1543960571289063,78.20095825195313,54.03683090209961,67.911376953125,34.188323974609375,50.4466667175293,56.53778076171875,61.91006088256836,76.45109558105469,84.64915466308594,12.087425231933594,39.61128616333008,16487870464,15032385536,7779880960,0
199,1740634026729,10025.017562866211,4250,0,1.30625,64550.352478027344,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,62.47639846801758,40.88615036010742,67.33013916015625,25.671730041503906,33.637451171875,78.7789306640625,63.05302810668945,62.67938232421875,67.97146606445313,32.716270446777344,76.3402099609375,8.814643859863281,16487870464,15032385536,7779893248,0
199,1740634026929,62021.450775146484,4250,0,1.29375,64558.593811035156,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,56.3835334777832,39.153751373291016,24.373817443847656,76.30305480957031,59.076148986816406,30.956214904785156,62.57687759399414,68.78577423095703,52.925453186035156,80.35060119628906,52.64732360839844,13.910743713378906,16487870464,15032385536,7796477952,0
200,1740634027129,62022.38862609863,4250,0,1.29375,64566.476623535156,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,34.47150421142578,56.254112243652344,58.24281311035156,66.69424438476563,83.52627563476563,50.633968353271484,84.53485107421875,36.29142761230469,76.72948455810547,24.545257568359375,32.568748474121094,10.724296569824219,16487870464,15032385536,7796133888,0
200,1740634027330,62023.53303527832,4200,0,1.30625,64576.052505493164,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,74.45368194580078,7.741325378417969,91.71875762939453,10.436332702636719,52.97705841064453,53.560523986816406,85.53692626953125,17.76812744140625,78.31077575683594,32.501808166503906,90.46802520751953,10.103866577148438,16487870464,15032385536,7795843072,0
199,1740634027530,45916.42562866211,4250,0,1.30625,64584.54902648926,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,16.378807067871094,35.001731872558594,54.7016487121582,92.22466278076172,66.59616088867188,30.29247283935547,73.28468322753906,91.78602600097656,26.648155212402344,79.86644744873047,47.46974182128906,8.126304626464844,16487870464,15032385536,7795466240,0
200,1740634027730,62025.21533203125,4250,0,1.3125,64593.10852050781,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,24.140586853027344,55.35750961303711,41.91069030761719,99.75494384765625,36.038631439208984,55.413116455078125,72.28954315185547,7.430519104003906,48.20695877075195,83.53926849365234,45.06827926635742,39.58704376220703,16487870464,15032385536,7795167232,0
200,1740634027930,62026.14454650879,4250,0,1.3125,64601.71522521973,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,16.756004333496094,59.21248245239258,32.93061828613281,100,61.403194427490234,24.517578125,39.81822967529297,78.05623626708984,65.53842163085938,63.32529830932617,41.768280029296875,28.32684326171875,16487870464,15032385536,7796137984,0
